Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
Shell Scripting,818941,59.99,Steve Parker,Wiley,2011,"Expert Recipes for Linux, Bash, and more",,"A compendium of shell scripting recipes that can immediately be used, adjusted, and applied The shell is the primary way of communicating with the Unix and Linux systems, providing a direct way to program by...",True,2011-08-15T00:00:00,Aug 2011,1,97,150,os
Programming with POSIX Threads,726231,88.46471295,David R. Butenhof,Pearson Education,1993,,,"With this practical book, you will attain a solid understanding of threads and will discover how to put this powerful mode of programming to work in real-world applications. The primary advantage of threaded programming is that it enables your applications to accomplish more than one task at the same time by using the number-crunching...",True,1993-05-15T00:00:00,May 1993,1,97,150,os
Windows 11 For Dummies,210401993,33.99,Andy Rathbone,Wiley,2021,,,"Need Windows help? Find the latest tips and tricks in this perennial favorite on Windows Windows 11 promises to be the fastest, most secure, and most flexible version of the Microsoft operating system yet. With a...",True,2021-10-18T00:00:00,Oct 2021,1,97,150,os
Exam Ref AZ-900 Microsoft Azure Fundamentals,210667635,43.54494795,Jim Cheshire,Pearson Education,2022,, (3rd ed.),"Prepare for the updated version of Microsoft Exam AZ-900 and help demonstrate your real-world knowledge of cloud services and how they can be provided with Microsoft Azure, including high-level concepts that apply throughout Azure, and key concepts specific to individual services. Designed for professionals in both non-technical or...",True,2022-08-15T00:00:00,Aug 2022,1,97,150,os
Exam Ref DP-900 Microsoft Azure Data Fundamentals,210169116,43.54494795,Daniel A. Seara,Pearson Education,2021,,,Exam Ref DP-900 Microsoft Azure Data Fundamentals offers professional-level preparation that helps candidates maximize their exam performance and sharpen their skills on the job. It focuses on the specific areas of expertise modern IT professionals need to demonstrate real-world foundational knowledge of core data concepts and how they are...,True,2021-03-12T00:00:00,Mar 2021,2,97,150,os
The macOS User Administration Guide,210303667,49.99,Herta Nava,Packt Publishing,2021,"A practical guide to implementing, managing, and optimizing macOS Big Sur features and tools",,,True,2021-04-26T00:00:00,Apr 2021,1,97,150,os
macOS Catalina: The Missing Manual,209901844,39.99,David Pogue,O'Reilly Media,2019,The Book That Should Have Been in the Box,,"Apple gives macOS new features and improvements right on your desktop and under the hood with Catalina—aka OS X 10.15. With this updated guide, you’ll learn how to use your iPad as a second screen, work with iPad apps on your Mac, and use Screen Time on your Mac. This new edition of the #1 bestselling Mac book shows you how to use the revamped...",True,2019-12-03T00:00:00,Dec 2019,1,97,150,os
vi Editor Pocket Reference,443459,7.99,Arnold Robbins,O'Reilly Media,1999,,,"For many users, working in the UNIX environment means using vi, a full-screen text editor available on most UNIX systems. Even those who know vi often make use of only a small number of its features.The vi Editor Pocket Reference is a companion volume to O'Reilly's updated sixth edition of Learning the vi Editor , a complete guide to text...",True,2003-12-15T00:00:00,Jan 1999,1,97,150,os
grep Pocket Reference,443168,27.99,John Bambenek,O'Reilly Media,2009,A Quick Pocket Reference for a Utility Every Unix User Needs,,"grep Pocket Reference is the first guide devoted to grep, the powerful Unix content-location utility. This handy book is ideal for system administrators, security professionals, developers, and others who want to learn more about grep and take new approaches with it -- for everything from mail filtering and system log management to malware...",True,2009-01-14T00:00:00,Jan 2009,2,97,150,os
DNS & BIND Cookbook,680894,40.99,Cricket Liu,O'Reilly Media,2002,Solutions & Examples for System Administrators,,"The DNS & BIND Cookbook presents solutions to the many problems faced by network administrators responsible for a name server. Following O'Reilly's popular problem-and-solution cookbook format, this title is an indispensable companion to DNS & BIND , 4th Edition, the definitive guide to the critical task of name server administration. The...",True,2011-03-24T00:00:00,Oct 2002,1,97,150,os
Linux Kernel in a Nutshell,443363,27.99,Greg Kroah-Hartman,O'Reilly Media,2006,A Desktop Quick Reference,,"Written by a leading developer and maintainer of the Linux kernel, Linux Kernel in a Nutshell is a comprehensiveoverview of kernel configuration and building, a critical task forLinux users and administrators. No distribution can provide a Linux kernel that meets all users'needs. Computers big and small have special requirements that...",True,2007-06-19T00:00:00,Dec 2006,1,97,150,os
Programming .NET Components,443383,39.99,Juval Lowy,O'Reilly Media,2005,Design and Build .NET Applications Using Component-Oriented Programming, (2nd ed.),"Brilliantly compiled by author Juval Lowy, Programming .NET Components , Second Edition is the consummate introduction to the Microsoft .NET Framework--the technology of choice for building components on Windows platforms. From its many lessons, tips, and guidelines, readers will learn how to use the .NET Framework to program reusable,...",True,2008-02-05T00:00:00,Jul 2005,1,97,150,os
GNU Emacs Pocket Reference,540278,22.99,Debra Cameron,O'Reilly Media,1998,UNIX Text Processing,,"GNU Emacs is the most popular and widespread of the Emacs family of editors. It is also the most powerful and flexible. Unlike all other text editors, GNU Emacs is a complete working environment -- you can stay within Emacs all day without leaving. The GNU Emacs Pocket Reference is a companion volume to O'Reilly's Learning GNU Emacs , which...",True,2008-12-01T00:00:00,Nov 1998,1,97,150,os
lex & yacc,1048054,24.99,Doug Brown,O'Reilly Media,1992,, (2nd ed.),"This book shows you how to use two Unix utilities, lex and yacc, in program development. These tools help programmers build compilers and interpreters, but they also have a wider range of applications.The second edition contains completely revised tutorial sections for novice users and reference sections for advanced users. This edition is twice...",True,2012-10-19T00:00:00,Oct 1992,3,97,150,os
Linux Kernel Development,726615,54.43458795,Robert Love,Pearson Education,2010,, (3rd ed.),"Linux Kernel Development details the design and implementation of the Linux kernel, presenting the content in a manner that is beneficial to those writing and developing kernel code, as well as to programmers seeking to better understand the operating system and become more efficient and productive in their coding. &nbsp; The book...",True,2010-06-07T00:00:00,Jun 2010,1,97,150,os
macOS Support Essentials 11 - Apple Pro Training Series,210161690,76.21386795,Arek Dreyer,Pearson Education,2021,Supporting and Troubleshooting macOS Big Sur,,"macOS Support Essentials 11 , the official book for macOS support, is a top-notch primer for anyone who needs to support, troubleshoot, or optimize macOS Big Sur. This is the only Apple Pro Training Series book that covers Big Sur. Students will find in-depth, step-by-step instructions on everything from upgrading, updating, reinstalling and...",True,2021-03-08T00:00:00,Mar 2021,2,97,150,os
macOS Support Essentials 12 - Apple Pro Training Series,210403555,76.21386795,Benjamin G. Levy,Pearson Education,2022,Supporting and Troubleshooting macOS Monterey,,"macOS Support Essentials 12, the official book for macOS support, is a top-notch primer for anyone who needs to support, troubleshoot, or optimize macOS Monterey, such as IT professionals, technicians, help desk specialists, and ardent Mac users. This is the only Apple Pro Training Series book that covers Monterey. You'll find...",True,2022-01-19T00:00:00,Jan 2022,3,97,150,os
