Title,id,price,author,publisher,pub_year,s_tile
Architecture Patterns with Python,209971850,71.99,Harry Percival,O'Reilly Media,2020,"Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices"
Data Science for Business,1323973,56.99,Foster Provost,O'Reilly Media,2013,What You Need to Know about Data Mining and Data-Analytic Thinking
Probability and Computing,95707810,76.91435466,Michael Mitzenmacher,Cambridge University Press,2017,Randomization and Probabilistic Techniques in Algorithms and Data Analysis
Head First Python,211026380,71.99,Paul Barry,O'Reilly Media,2023,
TypeScript Cookbook,211011087,71.99,Stefan Baumgartner,O'Reilly Media,2023,
C# 12 Pocket Reference,211139147,27.99,Joseph Albahari,O'Reilly Media,2023,
Discussing Design,2071472,37.99,Adam Connor,O'Reilly Media,2015,Improving Communication and Collaboration through Critique
Discussing Design,2071472,37.99,Adam Connor,O'Reilly Media,2015,Improving Communication and Collaboration through Critique
Using Publisher 2019,209896633,6.99,Kevin Wilson,Elluminet Press,2020,The Step-by-step Guide to Using Microsoft Publisher 2019
Rust Atomics and Locks,210725183,59.99,Mara Bos,O'Reilly Media,2022,
Building Microservices,210338899,84.99,Sam Newman,O'Reilly Media,2021,
Head First Java,210574751,84.99,Kathy Sierra,O'Reilly Media,2022,
Python for Excel,210239573,71.99,Felix Zumstein,O'Reilly Media,2021,
Head First Design Patterns,210173281,84.99,Eric Freeman,O'Reilly Media,2020,
Monolith to Microservices,209894569,59.99,Sam Newman,O'Reilly Media,2019,Evolutionary Patterns to Transform Your Monolith
Programming in Haskell,2654657,52.0668651,Graham Hutton,Cambridge University Press,2016,
Data Science from Scratch,209663126,67.99,Joel Grus,O'Reilly Media,2019,First Principles with Python
CSS: The Definitive Guide,210856972,96.99,Eric Meyer,O'Reilly Media,2023,
"Patterns, Principles, and Practices of Domain-Driven Design",1895068,71.99,Scott Millett,Wiley,2015,
Developing Information Systems,210412505,57.12806418,James Cadle,BCS Learning & Development Limited,2014,Practical guidance for IT professionals
Building Evolutionary Architectures,210712049,84.99,Neal Ford,O'Reilly Media,2022,
Designing Interfaces,209912467,67.99,Jenifer Tidwell,O'Reilly Media,2019,Patterns for Effective Interaction Design
Practical Data Privacy,210823549,71.99,Katharine Jarmul,O'Reilly Media,2023,
Learning Helm,210207828,59.99,Matt Butcher,O'Reilly Media,2021,
Laravel: Up & Running,211070101,63.99,Matt Stauffer,O'Reilly Media,2023,
Developing Apps with GPT-4 and ChatGPT,211036182,63.99,Olivier Caelen,O'Reilly Media,2023,
REST API Design Rulebook,801433,10.99,Mark Masse,O'Reilly Media,2011,Designing Consistent RESTful Web Service Interfaces
REST API Design Rulebook,801433,10.99,Mark Masse,O'Reilly Media,2011,Designing Consistent RESTful Web Service Interfaces
Excel Basics to Blackbelt,210002355,64.08500856,Elliot Bendoly,Cambridge University Press,2020,An Accelerated Guide to Decision Support Designs
Python Testing with pytest,210533215,49.99,Brian Okken,Pragmatic Bookshelf,2022,
Learning Microsoft Azure,211156710,71.99,Jonah Carrio Andersson,O'Reilly Media,2023,
Security Chaos Engineering,210810718,71.99,Kelly Shortridge,O'Reilly Media,2023,
Analytics Engineering with SQL and dbt,211167989,71.99,Rui Pedro Machado,O'Reilly Media,2023,
A Brief History of Artificial Intelligence,210015547,16.99,Michael Wooldridge,Flatiron Books,2021,"What It Is, Where We Are, and Where We Are Going"
Web Application Security,211202650,71.99,Andrew Hoffman,O'Reilly Media,2024,
"RHCSA Red Hat Enterprise Linux 9 Certification Study Guide, Eighth Edition (Exam EX200)",211171005,67.34525,Michael Jang,McGraw Hill LLC,2023,
Software Supply Chain Security,211221061,59.99,Cassie Crossley,O'Reilly Media,2024,
Fluent React,211230429,71.99,Tejas Kumar,O'Reilly Media,2024,
Fundamentals of Software Architecture,209933784,84.99,Mark Richards,O'Reilly Media,2020,An Engineering Approach
Terraform: Up and Running,210669494,71.99,Yevgeniy Brikman,O'Reilly Media,2022,
Head First C#,210180129,74.99,Andrew Stellman,O'Reilly Media,2020,
Kubernetes: Up and Running,210638358,84.99,Brendan Burns,O'Reilly Media,2022,
Concurrency in C# Cookbook,209766469,59.99,Stephen Cleary,O'Reilly Media,2019,"Asynchronous, Parallel, and Multithreaded Programming"
Practical Statistics for Data Scientists,209997783,84.99,Peter Bruce,O'Reilly Media,2020,50+ Essential Concepts Using R and Python
Efficient Linux at the Command Line,210497580,59.99,Daniel J. Barrett,O'Reilly Media,2022,
Ansible: Up and Running,210620346,71.99,Bas Meijer,O'Reilly Media,2022,
High Performance MySQL,210417272,71.99,Silvia Botros,O'Reilly Media,2021,
The Software Architect Elevator,209997033,71.99,Gregor Hohpe,O'Reilly Media,2020,Redefining the Architect's Role in the Digital Enterprise
Hacking Kubernetes,210396577,71.99,Andrew Martin,O'Reilly Media,2021,
SQL for Data Analysis,210368484,71.99,Cathy Tanimura,O'Reilly Media,2021,
C# 10 and .NET 6 – Modern Cross-Platform Development,210408704,80.99,Mark J. Price,Packt Publishing,2021,"Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF Core 6 using Visual Studio 2022 and Visual Studio Code"
Exam Ref AZ-800 Administering Windows Server Hybrid Core Infrastructure,210552419,48.47511095,Orin Thomas,Pearson Education,2022,
Exam Ref AZ-801 Configuring Windows Server Hybrid Advanced Services,210647356,48.47511095,Orin Thomas,Pearson Education,2022,
Container Security,210014518,59.99,Liz Rice,O'Reilly Media,2020,Fundamental Technology Concepts that Protect Containerized Applications
PDF Explained,816395,11.99,John Whitington,O'Reilly Media,2011,The ISO Standard for Document Exchange
Data Quality Fundamentals,210659320,71.99,Barr Moses,O'Reilly Media,2022,
(ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests,210320755,50.0,Mike Chapple,Wiley,2021,
Data Quality Fundamentals,210659320,71.99,Barr Moses,O'Reilly Media,2022,
(ISC)2 CISSP Certified Information Systems Security Professional Official Practice Tests,210320755,50.0,Mike Chapple,Wiley,2021,
DNS and BIND,443122,67.99,Cricket Liu,O'Reilly Media,2006,Help for System Administrators
Spring Boot: Up and Running,210221332,71.99,Mark Heckler,O'Reilly Media,2021,
OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide,1882237,76.0,Jeanne Boyarsky,Wiley,2014,Exam 1Z0-808
Spark: The Definitive Guide,95954846,74.99,Bill Chambers,O'Reilly Media,2018,Big Data Processing Made Simple
Full Stack Testing,210580110,71.99,Gayathri Mohan,O'Reilly Media,2022,
The Site Reliability Workbook,96314088,63.99,Betsy Beyer,O'Reilly Media,2018,Practical Ways to Implement SRE
Product Management in Practice,210564196,49.99,Matt LeMay,O'Reilly Media,2022,
Java in a Nutshell,210767615,71.99,Benjamin J Evans,O'Reilly Media,2023,
Learning GitHub Actions,211017268,71.99,Brent Laster,O'Reilly Media,2023,
Programming Languages,210672140,98.55230334,Norman Ramsey,Cambridge University Press,2022,"Build, Prove, and Compare"
Tidy Modeling with R,210620347,71.99,Max Kuhn,O'Reilly Media,2022,
21st Century C,1798788,45.99,Ben Klemens,O'Reilly Media,2014,C Tips from the New School
UX for Beginners,2504566,42.99,Joel Marsh,O'Reilly Media,2015,A Crash Course in 100 Short Lessons
Effective Cybersecurity,96311947,64.63797095,William Stallings,Pearson Education,2018,A Guide to Using Best Practices and Standards
WordPress: The Missing Manual,210127379,59.99,Matthew MacDonald,O'Reilly Media,2020,
Machine Learning and Security,95947010,71.99,Clarence Chio,O'Reilly Media,2018,Protecting Systems with Data and Algorithms
Cloud Native Development with Google Cloud,211151416,71.99,Daniel Vaughan,O'Reilly Media,2023,
The Software Developer's Career Handbook,211011155,49.99,Michael Lopp,O'Reilly Media,2023,
The Software Developer's Career Handbook,211011155,49.99,Michael Lopp,O'Reilly Media,2023,
Learning Vue,211163917,71.99,Maya Shavin,O'Reilly Media,2023,
Design It!,95960907,47.99,Michael Keeling,Pragmatic Bookshelf,2017,From Programmer to Software Architect
"CompTIA PenTest+ Certification All-in-One Exam Guide, Second Edition (Exam PT0-002)",210405009,80.8143,Heather Linn,McGraw Hill LLC,2022,
"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008)",210456114,80.8143,Mike Meyers,McGraw Hill LLC,2022,
Kafka Connect,211083574,84.99,Mickael Maison,O'Reilly Media,2023,
Building Progressive Web Apps,95860190,56.99,Tal Ater,O'Reilly Media,2017,Bringing the Power of Native to the Browser
Building Serverless Applications on Knative,211154133,71.99,Evan Anderson,O'Reilly Media,2023,
CompTIA Security+ Get Certified Get Ahead,211145997,13.99,Joe Shelley,"Certification Experts, LLC",2023,SY0-701 Study Guide
The Garbage Collection Handbook,210897867,102.0063961,Richard Jones,CRC Press,2023,The Art of Automatic Memory Management
Amazon Redshift: The Definitive Guide,211111067,84.99,Rajesh Francis,O'Reilly Media,2023,
Software Engineering at Google,209970024,71.99,Titus Winters,O'Reilly Media,2020,Lessons Learned from Programming Over Time
HTML and CSS,817871,35.99,Jon Duckett,Wiley,2011,Design and Build Websites
Observability Engineering,210559286,71.99,Charity Majors,O'Reilly Media,2022,
Learning SQL,209971182,71.99,Alan Beaulieu,O'Reilly Media,2020,"Generate, Manipulate, and Retrieve Data"
Efficient Go,210703866,71.99,Bartlomiej Plotka,O'Reilly Media,2022,
Learning Python,1224732,84.99,Mark Lutz,O'Reilly Media,2013,Powerful Object-Oriented Programming
Python in a Nutshell,210740448,96.99,Alex Martelli,O'Reilly Media,2023,
Robust Python,210333415,59.99,Patrick Viafore,O'Reilly Media,2021,
CompTIA Security+ Study Guide,210202687,66.0,Mike Chapple,Wiley,2021,Exam SY0-601
Clean Code,726365,53.86273095,Robert C. Martin,Pearson Education,2008,A Handbook of Agile Software Craftsmanship
Learning eBPF,210792918,59.99,Liz Rice,O'Reilly Media,2023,
Cloud Native Go,210272474,71.99,Matthew A. Titmus,O'Reilly Media,2021,
Site Reliability Engineering,2547522,63.99,Niall Richard Murphy,O'Reilly Media,2016,How Google Runs Production Systems
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,210320754,88.0,Mike Chapple,Wiley,2021,
Learning the vi and Vim Editors,210416626,71.99,Arnold Robbins,O'Reilly Media,2021,
"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)",210689421,80.8143,Mike Meyers,McGraw Hill LLC,2022,
Learning React,210048339,71.99,Alex Banks,O'Reilly Media,2020,Modern Patterns for Developing React Apps
MongoDB: The Definitive Guide,209907666,71.99,Shannon Bradshaw,O'Reilly Media,2019,Powerful and Scalable Data Storage
Practical Process Automation,210252797,71.99,Bernd Ruecker,O'Reilly Media,2021,
Fluent C,210689032,71.99,Christopher Preschern,O'Reilly Media,2022,
Clean Architecture,95862666,41.74058595,Robert C. Martin,Pearson Education,2017,A Craftsman's Guide to Software Structure and Design
Practical Python Data Wrangling and Data Quality,210429798,84.99,Susan E. McGregor,O'Reilly Media,2021,
"Learning PHP, MySQL & JavaScript",210337317,71.99,Robin Nixon,O'Reilly Media,2021,
Stream Processing with Apache Flink,209661473,79.99,Fabian Hueske,O'Reilly Media,2019,"Fundamentals, Implementation, and Operation of Streaming Applications"
Strategic Writing for UX,209704886,49.99,Torrey Podmajersky,O'Reilly Media,2019,"Drive Engagement, Conversion, and Retention with Every Word"
Get Into UX,210408466,6.99,Vy Alechnavicius,Vytautas Alechnavicius,2021,A foolproof guide to getting your first user experience job
WebAssembly: The Definitive Guide,210429799,71.99,Brian Sletten,O'Reilly Media,2021,
Programming C# 10,210641012,84.99,Ian Griffiths,O'Reilly Media,2022,
SQL Pocket Guide,210361378,38.99,Alice Zhao,O'Reilly Media,2021,
SQL Pocket Guide,210361378,38.99,Alice Zhao,O'Reilly Media,2021,
JavaScript: The Good Parts,443287,23.99,Douglas Crockford,O'Reilly Media,2008,The Good Parts
Snowflake: The Definitive Guide,210643545,84.99,Joyce Kay Avila,O'Reilly Media,2022,
Practical Vim,95960890,32.99,Drew Neil,Pragmatic Bookshelf,2015,Edit Text at the Speed of Thought
The Enterprise Data Catalog,210767916,71.99,Ole Olesen-Bagneux,O'Reilly Media,2023,
Production Kubernetes,210253008,84.99,Josh Rosso,O'Reilly Media,2021,
Prometheus: Up & Running,210819082,71.99,Julien Pivotto,O'Reilly Media,2023,
Head First Git,210470751,84.99,Raju Gandhi,O'Reilly Media,2022,
Mastering API Architecture,210689920,71.99,James Gough,O'Reilly Media,2021,
Engineering Management for the Rest of Us,210679124,12.99,Sarah Drasner,Skill Recordings Inc,2022,
Efficient MySQL Performance,210429802,71.99,Daniel Nichter,O'Reilly Media,2021,
Learning Git,210860043,49.99,Anna Skoulikari,O'Reilly Media,2023,
Java to Kotlin,210356108,71.99,Duncan McGregor,O'Reilly Media,2021,
Networking and Kubernetes,210368481,71.99,James Strong,O'Reilly Media,2021,
Learning Digital Identity,210741238,59.99,Phillip J. Windley,O'Reilly Media,2023,
bash Idioms,210524452,59.99,Carl Albing,O'Reilly Media,2022,
Linux Cookbook,210356055,71.99,Carla Schroder,O'Reilly Media,2021,
Financial Theory with Python,210380833,59.99,Yves Hilpisch,O'Reilly Media,2021,
Building an Event-Driven Data Mesh,210812682,71.99,Adam Bellemare,O'Reilly Media,2023,
Architecting for Scale,209970023,71.99,Lee Atchison,O'Reilly Media,2020,How to Maintain High Availability and Manage Risk in the Cloud
Learning Test-Driven Development,210396106,71.99,Saleem Siddiqui,O'Reilly Media,2021,
Designing Distributed Systems,95959775,53.99,Brendan Burns,O'Reilly Media,2018,"Patterns and Paradigms for Scalable, Reliable Services"
Building Secure and Reliable Systems,210025454,84.99,Heather Adkins,O'Reilly Media,2020,"Best Practices for Designing, Implementing, and Maintaining Systems"
Advancing into Analytics,210269115,71.99,George Mount,O'Reilly Media,2021,
"Java: The Complete Reference, Eleventh Edition",209545204,72.73287,Herbert Schildt,McGraw Hill LLC,2018,
bash Cookbook,95881077,67.99,Carl Albing,O'Reilly Media,2017,Solutions and Examples for bash Users
CISA Certified Information Systems Auditor Bundle,210001884,96.97716,Peter H. Gregory,McGraw Hill LLC,2020,
Head First HTML and CSS,1000282,58.99,Elisabeth Robson,O'Reilly Media,2012,A Learner's Guide to Creating Standards-Based Web Pages
Introducing Go,2505382,25.99,Caleb Doxsey,O'Reilly Media,2016,"Build Reliable, Scalable Programs"
OCP Oracle Certified Professional Java SE 17 Developer Study Guide,210527058,78.0,Scott Selikoff,Wiley,2022,Exam 1Z0-829
"CISSP All-in-One Exam Guide, Ninth Edition",210393469,94.28335,Fernando Maymi,McGraw Hill LLC,2021,
Natural Language Processing with PyTorch,209589529,106.99,Delip Rao,O'Reilly Media,2019,Build Intelligent Language Applications Using Deep Learning
"Tour of C++, A",210640423,43.08749095,Bjarne Stroustrup,Pearson Education,2022,
Network Programmability and Automation,211015339,63.99,Matt Oswalt,O'Reilly Media,2022,
Tidy Modeling with R,210620347,71.99,Max Kuhn,O'Reilly Media,2022,
Microsoft Power BI Cookbook.,210436117,55.99,Gregory Deckler,Packt Publishing,2021,"Gain expertise in Power BI with over 90 hands-on recipes, tips, and use cases"
Head First Kotlin,209605699,84.99,Dawn Griffiths,O'Reilly Media,2019,A Brain-Friendly Guide
Reactive Systems in Java,210412753,84.99,Clement Escoffier,O'Reilly Media,2021,
Learning MySQL,210373685,71.99,Vinicius M. Grippa,O'Reilly Media,2021,
Semantic Modeling for Data,210104235,96.99,Panos Alexopoulos,O'Reilly Media,2020,
Google Cloud Cookbook,210393922,71.99,Rui Santos Costa,O'Reilly Media,2021,
Head First Data Analysis,563954,67.99,Michael Milton,O'Reilly Media,2009,"A learner's guide to big numbers, statistics, and good decisions"
Packet Guide to Routing and Switching,769358,16.99,Bruce Hartpence,O'Reilly Media,2011,Exploring the Network Layer
Test Driven Development,210276268,53.86273095,Kent Beck,Pearson Education,2022,By Example
PHP Cookbook,210843588,71.99,Eric A. Mann,O'Reilly Media,2023,
Microsoft 365 and SharePoint Online Cookbook,210066842,55.99,Gaurav Mahajan,Packt Publishing,2020,Over 100 practical recipes to help you get the most out of Office 365 and SharePoint Online
Linux System Programming,1191121,79.99,Robert Love,O'Reilly Media,2013,Talking Directly to the Kernel and C Library
GCIH GIAC Certified Incident Handler All-in-One Exam Guide,210095328,72.73287,Nick Mitropoulos,McGraw Hill LLC,2020,
Understanding and Using C Pointers,1183950,35.99,Richard M Reese,O'Reilly Media,2013,Core Techniques for Memory Management
Head First Object-Oriented Analysis and Design,540881,79.99,Brett McLaughlin,O'Reilly Media,2006,A Brain Friendly Guide to OOA&D
"CCNA Certification Study Guide, Volume 2",209930395,78.0,Todd Lammle,Wiley,2020,Exam 200-301
Linux Pocket Guide,2603360,27.99,Daniel J. Barrett,O'Reilly Media,2016,
Head First SQL,540887,67.99,Lynn Beighley,O'Reilly Media,2007,Your Brain on SQL -- A Learner's Guide
"""You Are Not Expected to Understand This""",210568184,24.99,Torie Bosch,Princeton University Press,2022,How 26 Lines of Code Changed the World
Building Machine Learning Powered Applications,209929509,71.99,Emmanuel Ameisen,O'Reilly Media,2020,Going from Idea to Product
"Understanding Cisco Networking Technologies, Volume 1",209901861,59.99,Todd Lammle,Wiley,2019,Exam 200-301
Head First Software Development,540886,40.99,Dan Pilone,O'Reilly Media,2007,A Learner's Companion to Software Development
Modern Vim,96203104,44.99,Drew Neil,Pragmatic Bookshelf,2018,Craft Your Development Environment with Vim 8 and Neovim
Learning Microsoft Power BI,210669493,71.99,Jeremey Arnold,O'Reilly Media,2022,
Building Real-Time Analytics Systems,211074462,63.99,Mark Needham,O'Reilly Media,2023,
Building Real-Time Analytics Systems,211074462,63.99,Mark Needham,O'Reilly Media,2023,
Refactoring at Scale,210138724,71.99,Maude Lemaire,O'Reilly Media,2020,
SQL and Relational Theory,2412673,39.99,C. J. Date,O'Reilly Media,2015,How to Write Accurate SQL Code
Feedback Control for Computer Systems,1404606,35.99,Philipp K. Janert,O'Reilly Media,2013,Introducing Control Theory to Enterprise Programmers
Beautiful Code,540476,35.99,Andy Oram,O'Reilly Media,2007,Leading Programmers Explain How They Think
Introduction to Probability for Computing,210877941,83.324619,Mor Harchol-Balter,Cambridge University Press,2023,
OCP Oracle Certified Professional Java SE 17 Developer Practice Tests,210638412,54.0,Jeanne Boyarsky,Wiley,2022,Exam 1Z0-829
Mastering Active Directory,210426794,55.99,Dishan Francis,Packt Publishing,2021,"Design, deploy, and protect Active Directory Domain Services for Windows Server 2022"
Mastering Microsoft Endpoint Manager,210438528,52.99,Christiaan Brinkhoff,Packt Publishing,2021,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs"
Explore It!,95960842,27.99,Elisabeth Hendrickson,Pragmatic Bookshelf,2013,Reduce Risk and Increase Confidence with Exploratory Testing
Essentials of Software Testing,210338391,68.09693466,Ralf Bierig,Cambridge University Press,2021,
Trino: The Definitive Guide,210679606,84.99,Matt Fuller,O'Reilly Media,2022,
The AWK Programming Language,210928290,43.08749095,Alfred V. Aho,Pearson Education,2023,
Learn Enough Python to Be Dangerous,210821736,43.08749095,Michael Hartl,Pearson Education,2023,"Software Development, Flask Web Apps, and Beginning Data Science with Python"
Intelligence-Driven Incident Response,210866957,71.99,Rebekah Brown,O'Reilly Media,2023,
Artificial Intelligence,210877911,88.1301129,David L. Poole,Cambridge University Press,2023,Foundations of Computational Agents
IAPP CIPP / US Certified Information Privacy Professional Study Guide,210308165,62.0,Mike Chapple,Wiley,2021,
Building a Cyber Risk Management Program,211164306,63.99,Brian Allen,O'Reilly Media,2023,
Microsoft Teams Administration Cookbook,211023185,96.99,Fabrizio Volpe,O'Reilly Media,2023,
Azure Cookbook,210876986,84.99,Reza Salehi,O'Reilly Media,2023,
Azure Cookbook,210876986,84.99,Reza Salehi,O'Reilly Media,2023,
How to Make Things Faster,210862145,59.99,Cary Millsap,O'Reilly Media,2023,
C# 12 and .NET 8 – Modern Cross-Platform Development Fundamentals,211162852,50.99,Mark J. Price,Packt Publishing,2023,"Start building websites and services with ASP.NET Core 8, Blazor, and EF Core 8"
"SQL Antipatterns, Volume 1",210720161,51.99,Bill Karwin,Pragmatic Bookshelf,2022,
Programming .NET Components,443383,39.99,Juval Lowy,O'Reilly Media,2005,Design and Build .NET Applications Using Component-Oriented Programming
Windows Security Monitoring,95775052,60.0,Andrei Miroshnikov,Wiley,2018,Scenarios and Patterns
CompTIA Security+ Study Guide with over 500 Practice Test Questions,211147435,65.99,Mike Chapple,Wiley,2023,Exam SY0-701
macOS Support Essentials 12 - Apple Pro Training Series,210403555,74.06630595,Benjamin G. Levy,Pearson Education,2022,Supporting and Troubleshooting macOS Monterey
Kubernetes Cookbook,211152389,71.99,Sameer Naik,O'Reilly Media,2023,
Mastering Windows Server 2022,210850234,50.99,Jordan Krause,Packt Publishing,2023,Comprehensive administration of your Windows Server environment
Chat GPT,211053777,5.99,Personal Evolution,Personal Evolution,2023,
Hacking and Securing iOS Applications,843730,20.99,Jonathan Zdziarski,O'Reilly Media,2012,"Stealing Data, Hijacking Software, and How to Prevent It"
Web Scraping with Python,211230632,71.99,Ryan Mitchell,O'Reilly Media,2024,
Learn Python the Hard Way,211168745,40.39368095,Zed A. Shaw,Pearson Education,2024,
UX for Business,211164308,53.99,Joel Marsh,O'Reilly Media,2023,
Fuzzy Data Matching with SQL,211111066,63.99,Jim Lehmer,O'Reilly Media,2023,
The Deep Learning Architect's Handbook,211166639,53.99,Ee Kin Chin,Packt Publishing,2023,Build and deploy production-ready DL solutions leveraging the latest Python techniques
Apps and Services with .NET 8,211166640,50.99,Mark J. Price,Packt Publishing,2023,"Build practical projects with Blazor, .NET MAUI, gRPC, GraphQL, and other enterprise technologies"
Unlocking the Secrets of Prompt Engineering,211170949,45.99,Gilbert Mizrahi,Packt Publishing,2024,Master the art of creative language generation to accelerate your journey from novice to pro
Applied Generative AI for Beginners,211138585,71.95820528,Akshay Kulkarni,Apress,2023,"Practical Knowledge on Diffusion Models, ChatGPT, and Other LLMs"
Data Mesh,210518471,84.99,Zhamak Dehghani,O'Reilly Media,2022,
Command-Line Rust,210463173,71.99,Ken Youens-Clark,O'Reilly Media,2022,
Programming TypeScript,209670238,56.99,Boris Cherny,O'Reilly Media,2019,Making Your JavaScript Applications Scale
User Story Mapping,1781254,44.99,Jeff Patton,O'Reilly Media,2014,"Discover the Whole Story, Build the Right Product"
"Pragmatic Programmer, The",209748258,53.86273095,David Thomas,Pearson Education,2019,"Your journey to mastery, 20th Anniversary Edition"
Concurrency in Go,95820962,56.99,Katherine Cox-Buday,O'Reilly Media,2017,Tools and Techniques for Developers
Learning Modern Linux,210544865,71.99,Michael Hausenblas,O'Reilly Media,2022,
Data Pipelines Pocket Reference,210223912,32.99,James Densmore,O'Reilly Media,2021,
Essential Scrum,1436340,53.86273095,Kenneth S. Rubin,Pearson Education,2012,A Practical Guide to the Most Popular Agile Process
AI and Machine Learning for Coders,210136933,71.99,Laurence Moroney,O'Reilly Media,2020,
AI and Machine Learning for Coders,210136933,71.99,Laurence Moroney,O'Reilly Media,2020,
Software Testing,209747940,64.27017438,Brian Hambling,BCS Learning & Development Limited,2019,An ISTQB-BCS Certified Tester Foundation guide - 4th edition
Building Micro-Frontends,210416737,59.99,Luca Mezzalira,O'Reilly Media,2021,
Version Control with Git,210691823,71.99,Prem Kumar Ponuthorai,O'Reilly Media,2022,
Test-Driven Development with Python,95836888,79.99,Harry Percival,O'Reilly Media,2017,"Obey the Testing Goat: Using Django, Selenium, and JavaScript"
PowerShell Cookbook,210318708,96.99,Lee Holmes,O'Reilly Media,2021,
The Art of Agile Development,210398060,71.99,James Shore,O'Reilly Media,2021,
AWS Cookbook,210429800,84.99,John Culkin,O'Reilly Media,2021,
Data-Driven Science and Engineering,210524316,76.11196944,Steven L. Brunton,Cambridge University Press,2022,"Machine Learning, Dynamical Systems, and Control"
High Performance Python,210010581,71.99,Micha Gorelick,O'Reilly Media,2020,Practical Performant Programming for Humans
Java Performance,209956377,67.99,Scott Oaks,O'Reilly Media,2020,"In-Depth Advice for Tuning and Programming Java 8, 11, and Beyond"
Design Patterns,726555,64.63797095,Erich Gamma,Pearson Education,1994,Elements of Reusable Object-Oriented Software
Making Embedded Systems,801453,48.99,Elecia White,O'Reilly Media,2011,Design Patterns for Great Software
Certified Kubernetes Administrator (CKA) Study Guide,210584188,71.99,Benjamin Muschko,O'Reilly Media,2022,
Software Architecture Metrics,210567692,71.99,Christian Ciceri,O'Reilly Media,2022,
Programming Scala,210303041,84.99,Dean Wampler,O'Reilly Media,2021,
Learning Google Analytics,210704300,71.99,Mark Edmondson,O'Reilly Media,2022,
Practical Machine Learning for Computer Vision,210336891,96.99,Valliappa Lakshmanan,O'Reilly Media,2021,
Head First Android Development,210416627,96.99,Dawn Griffiths,O'Reilly Media,2021,
